Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
1900-01-11;CA-2015-115812;2015-06-09;2015-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;2146-06-30;West;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;1904-09-01;1900-01-09;1900-01-00;1900-03-25
1900-01-12;CA-2015-115812;2015-06-09;2015-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;2146-06-30;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;1902-06-29;1900-01-04;1900-01-00;1900-03-08
1900-01-13;CA-2018-114412;2018-04-15;2018-04-20;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;1976-09-24;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;1900-01-15;1900-01-03;1900-01-00;1900-01-05
1900-01-14;CA-2017-161389;2017-12-05;2017-12-10;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;2168-08-04;West;OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;1901-02-10;1900-01-03;1900-01-00;1900-05-11
1900-01-15;US-2016-118983;2016-11-22;2016-11-26;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;2108-05-14;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;1900-03-08;1900-01-05;1900-01-00;###############################################################################################################################################################################################################################################################
1900-01-16;US-2016-118983;2016-11-22;2016-11-26;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;2108-05-14;Central;OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;1900-01-02;1900-01-03;1900-01-00;###############################################################################################################################################################################################################################################################
1900-01-17;CA-2015-105893;2015-11-11;2015-11-18;Standard Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;2047-01-19;Central;OFF-ST-10004186;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";1901-10-26;1900-01-06;1900-01-00;1900-01-13
1900-01-18;CA-2015-167164;2015-05-13;2015-05-15;Second Class;AG-10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;2130-03-18;West;OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;1900-02-24;1900-01-02;1900-01-00;1900-01-09
1900-01-19;CA-2015-143336;2015-08-27;2015-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;2157-08-28;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;1900-01-08;1900-01-02;1900-01-00;1900-01-02
1900-01-20;CA-2015-143336;2015-08-27;2015-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;2157-08-28;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;1900-07-31;1900-01-03;1900-01-00;1900-01-16
1900-01-21;CA-2015-143336;2015-08-27;2015-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;2157-08-28;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";1900-01-22;1900-01-04;1900-01-00;1900-01-07
1900-01-22;CA-2017-137330;2017-12-09;2017-12-13;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;2086-03-29;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;1900-01-19;1900-01-07;1900-01-00;1900-01-05
1900-01-23;CA-2017-137330;2017-12-09;2017-12-13;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;2086-03-29;Central;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;1900-02-29;1900-01-07;1900-01-00;1900-01-15
1900-01-24;US-2018-156909;2018-07-16;2018-07-18;Second Class;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;1952-05-26;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;1900-03-11;1900-01-02;1900-01-00;###############################################################################################################################################################################################################################################################
1900-01-25;CA-2016-106320;2016-09-25;2016-09-30;Standard Class;EB-13870;Emily Burns;Consumer;United States;Orem;Utah;2130-02-19;West;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1902-11-09;1900-01-03;1900-01-00;1900-08-27
1900-01-26;CA-2017-121755;2017-01-16;2017-01-20;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;2146-07-17;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;1900-01-11;1900-01-02;1900-01-00;1900-01-04
1900-01-27;CA-2017-121755;2017-01-16;2017-01-20;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;2146-07-17;West;TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;1900-03-30;1900-01-03;1900-01-00;1900-01-11
1900-01-28;US-2016-150630;2016-09-17;2016-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;1952-05-26;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;1908-06-09;1900-01-07;1900-01-00;###############################################################################################################################################################################################################################################################
1900-01-29;US-2016-150630;2016-09-17;2016-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;1952-05-26;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;1900-01-09;1900-01-02;1900-01-00;###############################################################################################################################################################################################################################################################
1900-01-30;US-2016-150630;2016-09-17;2016-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;1952-05-26;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";1900-05-03;1900-01-03;1900-01-00;1900-01-15
1900-01-31;US-2016-150630;2016-09-17;2016-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;1952-05-26;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;1900-01-03;1900-01-02;1900-01-00;1900-01-01
1900-02-01;US-2016-150630;2016-09-17;2016-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;1952-05-26;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;1900-03-26;1900-01-06;1900-01-00;1900-01-09
1900-02-02;US-2016-150630;2016-09-17;2016-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;1952-05-26;East;OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";1900-01-06;1900-01-06;1900-01-00;###############################################################################################################################################################################################################################################################
1900-02-03;US-2016-150630;2016-09-17;2016-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;1952-05-26;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;1900-01-15;1900-01-02;1900-01-00;1900-01-03
1900-02-04;CA-2018-107727;2018-10-19;2018-10-23;Second Class;MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;2111-01-28;Central;OFF-PA-10000249;Office Supplies;Paper;Easy-staple paper;1900-01-29;1900-01-03;1900-01-00;1900-01-09
1900-02-05;CA-2017-117590;2017-12-08;2017-12-10;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;2105-07-23;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1903-01-01;1900-01-07;1900-01-00;1900-05-02
1900-02-06;CA-2017-117590;2017-12-08;2017-12-10;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;2105-07-23;Central;FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;1900-07-08;1900-01-05;1900-01-00;###############################################################################################################################################################################################################################################################
1900-02-07;CA-2016-117415;2016-12-27;2016-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;2110-12-05;Central;OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";1900-04-22;1900-01-09;1900-01-00;1900-02-04
1900-02-08;CA-2016-117415;2016-12-27;2016-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;2110-12-05;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;1901-06-15;1900-01-03;1900-01-00;###############################################################################################################################################################################################################################################################
1900-02-09;CA-2016-117415;2016-12-27;2016-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;2110-12-05;Central;FUR-CH-10004218;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;1900-07-30;1900-01-03;1900-01-00;###############################################################################################################################################################################################################################################################
1900-02-10;CA-2016-117415;2016-12-27;2016-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;2110-12-05;Central;TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;1901-01-05;1900-01-04;1900-01-00;1900-02-10
1900-02-11;CA-2018-120999;2018-09-10;2018-09-15;Standard Class;LC-16930;Linda Cazamias;Corporate;United States;Naperville;Illinois;2065-09-30;Central;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;1900-05-26;1900-01-04;1900-01-00;1900-01-16
1900-02-12;CA-2017-101343;2017-07-17;2017-07-22;Standard Class;RA-19885;Ruben Ausman;Corporate;United States;Los Angeles;California;2146-07-17;West;OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;1900-03-17;1900-01-02;1900-01-00;1900-01-03
1900-02-13;CA-2018-139619;2018-09-19;2018-09-23;Standard Class;ES-14080;Erin Smith;Corporate;United States;Melbourne;Florida;1990-03-03;South;OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;1900-04-04;1900-01-02;1900-01-00;1900-01-09
1900-02-14;CA-2017-118255;2017-03-11;2017-03-13;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;2050-11-30;Central;TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;1900-02-14;1900-01-02;1900-01-00;1900-01-19
1900-02-15;CA-2017-118255;2017-03-11;2017-03-13;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;2050-11-30;Central;OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;1900-01-17;1900-01-02;1900-01-00;1900-01-08
1900-02-16;CA-2015-146703;2015-10-20;2015-10-25;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Westland;Michigan;2031-12-03;Central;OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;1900-07-29;1900-01-04;1900-01-00;1900-01-08
1900-02-17;CA-2017-169194;2017-06-20;2017-06-25;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;1954-06-26;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;1900-02-14;1900-01-03;1900-01-00;1900-01-04
1900-02-18;CA-2017-169194;2017-06-20;2017-06-25;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;1954-06-26;East;TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;1900-01-21;1900-01-02;1900-01-00;1900-01-06
1900-02-19;CA-2016-115742;2016-04-18;2016-04-22;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;2029-02-01;Central;OFF-BI-10004410;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;1900-02-07;1900-01-06;1900-01-00;1900-01-17
1900-02-20;CA-2016-115742;2016-04-18;2016-04-22;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;2029-02-01;Central;OFF-LA-10002762;Office Supplies;Labels;Avery 485;1900-03-15;1900-01-06;1900-01-00;1900-02-04
1900-02-21;CA-2016-115742;2016-04-18;2016-04-22;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;2029-02-01;Central;FUR-FU-10001706;Furniture;Furnishings;Longer-Life Soft White Bulbs;1900-01-06;1900-01-02;1900-01-00;1900-01-02
1900-02-22;CA-2016-115742;2016-04-18;2016-04-22;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;2029-02-01;Central;FUR-CH-10003061;Furniture;Chairs;Global Leather Task Chair, Black;1900-03-29;1900-01-01;1900-01-00;1900-01-17
1900-02-23;CA-2017-105816;2017-12-11;2017-12-17;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;1927-06-11;East;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;1900-01-15;1900-01-07;1900-01-00;1900-01-06
1900-02-24;CA-2017-105816;2017-12-11;2017-12-17;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;1927-06-11;East;TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;1902-10-25;1900-01-05;1900-01-00;1900-10-24
1900-02-25;CA-2017-111682;2017-06-17;2017-06-18;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;1933-05-06;East;OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;1900-07-26;1900-01-06;1900-01-00;1900-02-21
1900-02-26;CA-2017-111682;2017-06-17;2017-06-18;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;1933-05-06;East;OFF-PA-10001569;Office Supplies;Paper;Xerox 232;1900-02-01;1900-01-05;1900-01-00;1900-01-15
1900-02-27;CA-2017-111682;2017-06-17;2017-06-18;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;1933-05-06;East;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;1900-11-14;1900-01-05;1900-01-00;1900-01-07
1900-02-28;CA-2017-111682;2017-06-17;2017-06-18;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;1933-05-06;East;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;1900-01-14;1900-01-02;1900-01-00;1900-01-06
1900-02-29;CA-2017-111682;2017-06-17;2017-06-18;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;1933-05-06;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;1900-01-30;1900-01-02;1900-01-00;1900-01-03
1900-03-01;CA-2017-111682;2017-06-17;2017-06-18;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;1933-05-06;East;OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;1900-02-17;1900-01-04;1900-01-00;1900-01-16
1900-03-02;CA-2017-111682;2017-06-17;2017-06-18;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;1933-05-06;East;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;1900-01-01;1900-01-01;1900-01-00;1900-01-00
1900-03-03;CA-2016-135545;2016-11-24;2016-11-30;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;2146-06-02;West;TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;1900-01-13;1900-01-02;1900-01-00;1900-01-06
1900-03-04;CA-2016-135545;2016-11-24;2016-11-30;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;2146-06-02;West;OFF-BI-10001078;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";1900-01-25;1900-01-06;1900-01-00;1900-01-09
1900-03-05;CA-2016-135545;2016-11-24;2016-11-30;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;2146-06-02;West;OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;1900-05-25;1900-01-03;1900-01-00;1900-03-08
1900-03-06;CA-2016-135545;2016-11-24;2016-11-30;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;2146-06-02;West;FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;1900-03-19;1900-01-04;1900-01-00;1900-01-22
1900-03-07;US-2016-164175;2016-04-30;2016-05-05;Standard Class;PS-18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;2065-12-09;Central;FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;1900-07-31;1900-01-05;1900-01-00;###############################################################################################################################################################################################################################################################
1900-03-08;CA-2015-106376;2015-12-05;2015-12-10;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;2133-05-11;West;OFF-AR-10002671;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1903-01-17;1900-01-08;1900-01-00;1900-04-20
1900-03-09;CA-2015-106376;2015-12-05;2015-12-10;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;2133-05-11;West;TEC-PH-10002726;Technology;Phones;netTALK DUO VoIP Telephone Service;1900-06-15;1900-01-04;1900-01-00;1900-03-02
1900-03-10;CA-2017-119823;2017-06-04;2017-06-06;First Class;KD-16270;Karen Daniels;Consumer;United States;Springfield;Virginia;1960-08-25;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;1900-03-15;1900-01-02;1900-01-00;1900-02-04
1900-03-11;CA-2017-106075;2017-09-18;2017-09-23;Standard Class;HM-14980;Henry MacAllister;Consumer;United States;New York City;New York;1927-05-27;East;OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;1900-01-04;1900-01-01;1900-01-00;1900-01-01
1900-03-12;CA-2018-114440;2018-09-14;2018-09-17;Second Class;TB-21520;Tracy Blumstein;Consumer;United States;Jackson;Michigan;2034-09-14;Central;OFF-PA-10004675;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";1900-01-19;1900-01-03;1900-01-00;1900-01-08
1900-03-13;US-2016-134026;2016-04-26;2016-05-02;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;2004-05-02;South;FUR-CH-10000513;Furniture;Chairs;High-Back Leather Manager's Chair;1902-04-10;1900-01-08;1900-01-00;###############################################################################################################################################################################################################################################################
1900-03-14;US-2016-134026;2016-04-26;2016-05-02;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;2004-05-02;South;FUR-FU-10003708;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";1900-04-06;1900-01-02;1900-01-00;1900-01-01
1900-03-15;US-2016-134026;2016-04-26;2016-05-02;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;2004-05-02;South;OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;1900-03-12;1900-01-01;1900-01-00;###############################################################################################################################################################################################################################################################
1900-03-16;US-2018-118038;2018-12-09;2018-12-11;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;2110-12-05;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1900-01-01;1900-01-03;1900-01-00;###############################################################################################################################################################################################################################################################
1900-03-17;US-2018-118038;2018-12-09;2018-12-11;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;2110-12-05;Central;FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";1900-01-09;1900-01-03;1900-01-00;###############################################################################################################################################################################################################################################################
1900-03-18;US-2018-118038;2018-12-09;2018-12-11;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;2110-12-05;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;1900-01-27;1900-01-03;1900-01-00;1900-01-02
1900-03-19;US-2015-147606;2015-11-26;2015-12-01;Second Class;JE-15745;Joel Eaton;Consumer;United States;Houston;Texas;2111-01-03;Central;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;1900-01-19;1900-01-05;1900-01-00;###############################################################################################################################################################################################################################################################
1900-03-20;CA-2017-127208;2017-06-12;2017-06-15;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;1997-06-20;South;OFF-AP-10002118;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";1900-07-26;1900-01-01;1900-01-00;1900-02-25
1900-03-21;CA-2017-127208;2017-06-12;2017-06-15;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;1997-06-20;South;OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;1900-01-16;1900-01-03;1900-01-00;1900-01-08
1900-03-22;CA-2015-139451;2015-10-12;2015-10-16;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;2157-09-10;West;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;1900-01-14;1900-01-05;1900-01-00;1900-01-04
1900-03-23;CA-2015-139451;2015-10-12;2015-10-16;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;2157-09-10;West;OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;1900-01-21;1900-01-01;1900-01-00;1900-01-06
1900-03-24;CA-2016-149734;2016-09-03;2016-09-08;Standard Class;JC-16105;Julie Creighton;Corporate;United States;Durham;North Carolina;1975-11-09;South;OFF-EN-10000927;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;1900-07-18;1900-01-07;1900-01-00;1900-03-02
1900-03-25;US-2018-119662;2018-11-13;2018-11-16;First Class;CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;2065-12-22;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;1900-08-17;1900-01-03;1900-01-00;###############################################################################################################################################################################################################################################################
1900-03-26;CA-2018-140088;2018-05-28;2018-05-30;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Columbia;South Carolina;1979-12-14;South;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;1900-10-27;1900-01-02;1900-01-00;1900-02-02
1900-03-27;CA-2018-155558;2018-10-26;2018-11-02;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;2053-01-17;Central;TEC-AC-10001998;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;1900-01-19;1900-01-01;1900-01-00;1900-01-06
1900-03-28;CA-2018-155558;2018-10-26;2018-11-02;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;2053-01-17;Central;OFF-LA-10000134;Office Supplies;Labels;Avery 511;1900-01-06;1900-01-02;1900-01-00;1900-01-02
1900-03-29;CA-2017-159695;2017-04-05;2017-04-10;Second Class;GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;2111-01-28;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;1900-06-06;1900-01-07;1900-01-00;1900-01-13
1900-03-30;CA-2017-109806;2017-09-17;2017-09-22;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;2146-07-04;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;1900-01-20;1900-01-03;1900-01-00;1900-01-06
